DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2022-03-14,5,8,West LA,440,THEFT PLAIN - PETTY ($950 & UNDER),76,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),999.0,NO WEAPON,1900    WESTHOLME                    AV,NO CROSS STREET,34.053,-118.4274,1,950.0,1
2023-04-21,220,14,Pacific,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),66,M,X,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,11300    TENINO                       AV,NO CROSS STREET,34.0025,-118.4135,5,20000.0,1
2022-06-01,1,13,Newton,354,THEFT OF IDENTITY,44,F,B,101.0,STREET,999.0,NO WEAPON,700 E  WASHINGTON                   BL,NO CROSS STREET,34.0276,-118.2574,3,0.0,0
2020-04-21,1300,16,Foothill,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62,M,X,122.0,"VEHICLE, PASSENGER/TRUCK",999.0,NO WEAPON,10300    WOODWARD                     AV,NO CROSS STREET,34.256,-118.307,2,900.0,1
2022-01-16,1000,13,Newton,441,THEFT PLAIN - ATTEMPT,37,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",999.0,NO WEAPON,5000 S  MAIN                         ST,NO CROSS STREET,33.9974,-118.274,7,0.0,0
2020-02-04,500,1,Central,310,BURGLARY,57,F,H,201.0,JEWELRY STORE,999.0,NO WEAPON,700 S  HILL                         ST,NO CROSS STREET,34.0459,-118.2545,2,10000.0,1
2021-10-06,330,5,Harbor,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,W,108.0,PARKING LOT,218.0,OTHER CUTTING INSTRUMENT,3600    SHOSHONEAN                   RD,NO CROSS STREET,33.7179,-118.2844,3,0.0,0
2022-05-03,800,12,77th Street,354,THEFT OF IDENTITY,46,M,H,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,300 E  80TH                         ST,NO CROSS STREET,33.9665,-118.2695,2,0.0,0
2023-01-16,1400,11,Northeast,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",48,M,W,203.0,OTHER BUSINESS,999.0,NO WEAPON,4400    SANTA MONICA                 BL,NO CROSS STREET,34.0947,-118.2877,1,20000.0,1
2020-09-19,2110,14,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,M,W,116.0,OTHER/OUTSIDE,999.0,NO WEAPON,DUDLEY                       AV,MAIN                         ST,33.9955,-118.4776,6,900.0,1
2023-06-26,2320,7,Wilshire,210,ROBBERY,31,M,B,108.0,PARKING LOT,106.0,UNKNOWN FIREARM,400 S  DETROIT                      ST,NO CROSS STREET,34.0669,-118.3451,1,10000.0,1
2023-03-28,900,11,Northeast,662,"BUNCO, GRAND THEFT",39,M,X,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,3700    EAGLE ROCK                   BL,NO CROSS STREET,34.1176,-118.2338,2,20000.0,1
2021-03-11,2355,7,Wilshire,624,BATTERY - SIMPLE ASSAULT,39,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",ROSSMORE,3RD                          ST,34.0689,-118.3274,4,0.0,0
2023-06-29,1820,21,Topanga,440,THEFT PLAIN - PETTY ($950 & UNDER),34,F,C,104.0,DRIVEWAY,999.0,NO WEAPON,7000    COMANCHE                     AV,NO CROSS STREET,34.1974,-118.5721,4,950.0,1
2021-08-10,1125,6,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),42,F,B,102.0,SIDEWALK,999.0,NO WEAPON,1200    VINE                         ST,NO CROSS STREET,0.0,0.0,2,950.0,1
2020-12-22,1030,12,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),45,F,H,119.0,"PORCH, RESIDENTIAL",999.0,NO WEAPON,5200 S  WILTON                       PL,NO CROSS STREET,33.9937,-118.315,2,950.0,1
2020-11-10,2040,19,Mission,886,DISTURBING THE PEACE,37,F,H,210.0,RESTAURANT/FAST FOOD,999.0,NO WEAPON,8700    WOODMAN                      AV,NO CROSS STREET,34.228,-118.4344,2,0.0,0
